J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,Volume_yes,high_rate,low_rate,open_rate,earning_rate,label,Signal
1403-01-11,2900,2910,2843,2896,2877,-0.21674042971176327,خساپا,2901.0,160913910.0,0.0031023784901758012,-0.01999310582557739,-0.0003447087211306446,-0.001723543605653223,-0.0003475842891901286,0
1403-01-14,2750,2899,2748,2876,2844,1.2511994300737495,خساپا,2877.0,126037360.0,0.0076468543621828295,-0.04483837330552659,-0.044143204727146335,-0.0003475842891901286,0.007032348804500703,1
1403-01-15,2860,2902,2804,2864,2845,-0.22313391372159974,خساپا,2844.0,283735233.0,0.020393811533052038,-0.014064697609001406,0.005625879043600563,0.007032348804500703,-0.03620386643233743,0
1403-01-18,2845,2864,2703,2742,2760,1.0954208129884784,خساپا,2845.0,220424280.0,0.006678383128295255,-0.04991212653778559,0.0,-0.03620386643233743,0.0010869565217391304,1
1403-01-19,2759,2799,2725,2763,2753,-0.683615793729867,خساپا,2760.0,461881624.0,0.014130434782608696,-0.012681159420289856,-0.00036231884057971015,0.0010869565217391304,0.0032691609153650564,1
1403-01-20,2788,2830,2750,2762,2790,-0.4954639006606429,خساپا,2753.0,146132051.0,0.027969487831456592,-0.0010897203051216855,0.012713403559752997,0.0032691609153650564,0.0007168458781362007,1
1403-01-21,2789,2845,2751,2792,2794,0.9172081312218229,خساپا,2790.0,73728895.0,0.01971326164874552,-0.013978494623655914,-0.00035842293906810036,0.0007168458781362007,-0.049749463135289905,0
1403-01-25,2685,2750,2655,2655,2664,1.1514074448611464,خساپا,2794.0,141353637.0,-0.015748031496062992,-0.049749463135289905,-0.03901216893342878,-0.049749463135289905,-0.00975975975975976,0
1403-01-26,2638,2638,2638,2638,2662,-0.9899330427178334,خساپا,2664.0,304109267.0,-0.00975975975975976,-0.00975975975975976,-0.00975975975975976,-0.00975975975975976,0.009767092411720512,1
1403-01-27,2688,2688,2653,2688,2688,30.98441623345762,خساپا,2662.0,3061455.0,0.009767092411720512,-0.0033809166040570998,0.009767092411720512,0.009767092411720512,-0.009672619047619048,0
1403-01-28,2662,2687,2662,2662,2663,-0.013150869182482544,خساپا,2688.0,97918851.0,-0.0003720238095238095,-0.009672619047619048,-0.009672619047619048,-0.009672619047619048,-0.00938790837401427,0
1403-01-29,2662,2689,2637,2638,2672,-0.35348758665594865,خساپا,2663.0,96631133.0,0.00976342470897484,-0.00976342470897484,-0.0003755163349605708,-0.00938790837401427,0.049775449101796404,1
1403-02-01,2766,2805,2731,2805,2802,2.5719951684263083,خساپا,2672.0,62473227.0,0.049775449101796404,0.022080838323353294,0.035179640718562874,0.049775449101796404,-0.0024982155603140615,0
1403-02-02,2890,2890,2794,2795,2832,-0.6410342872311109,خساپا,2802.0,223154065.0,0.03140613847251963,-0.0028551034975017845,0.03140613847251963,-0.0024982155603140615,-0.018714689265536724,0
1403-02-03,2782,2837,2752,2779,2816,0.2648376327878461,خساپا,2832.0,80104658.0,0.0017655367231638418,-0.02824858757062147,-0.01765536723163842,-0.018714689265536724,0.0031960227272727275,1
1403-02-04,2751,2850,2751,2825,2810,0.20252451983868122,خساپا,2816.0,101319386.0,0.012073863636363636,-0.023082386363636364,-0.023082386363636364,0.0031960227272727275,0.0071174377224199285,1
1403-02-05,2833,2835,2784,2830,2803,-0.34428963765852205,خساپا,2810.0,121839046.0,0.008896797153024912,-0.009252669039145907,0.008185053380782919,0.0071174377224199285,-0.0010702818408847663,0
1403-02-08,2854,2900,2785,2800,2811,-0.046123734019266845,خساپا,2803.0,79891125.0,0.03460577952194078,-0.006421691045308598,0.018194791295041028,-0.0010702818408847663,-0.028459622909996443,0
1403-02-09,2781,2800,2729,2731,2758,-0.12325686208826342,خساپا,2811.0,76206248.0,-0.003913198150124511,-0.029171113482746355,-0.010672358591248666,-0.028459622909996443,0.01849166062364032,1
1403-02-10,2731,2895,2731,2809,2860,3.308625310482695,خساپا,2758.0,66813305.0,0.049673676577229875,-0.009789702683103698,-0.009789702683103698,0.01849166062364032,-0.026223776223776224,0
1403-02-11,2858,2860,2770,2785,2807,-0.6127317270891387,خساپا,2860.0,287873497.0,0.0,-0.03146853146853147,-0.0006993006993006993,-0.026223776223776224,0.0028500178126113287,1
1403-02-12,2785,2847,2785,2815,2814,-0.13495118845104895,خساپا,2807.0,111484272.0,0.014250089063056644,-0.007837548984681154,-0.007837548984681154,0.0028500178126113287,-0.019189765458422176,0
1403-02-16,2800,2855,2760,2760,2799,0.13564395408483573,خساپا,2814.0,96439337.0,0.01457000710732054,-0.019189765458422176,-0.004975124378109453,-0.019189765458422176,-0.028224365844944622,0
1403-02-17,2760,2805,2700,2720,2749,-0.00781661009443416,خساپا,2799.0,109520750.0,0.0021436227224008574,-0.03536977491961415,-0.013933547695605574,-0.028224365844944622,-0.021098581302291742,0
1403-02-18,2700,2762,2671,2691,2704,0.20084197744162824,خساپا,2749.0,108664669.0,0.004728992360858494,-0.028373954165150966,-0.017824663514005093,-0.021098581302291742,-0.029585798816568046,0
1403-02-19,2690,2733,2611,2624,2660,-0.3712210865496378,خساپا,2704.0,130489096.0,0.010724852071005916,-0.03439349112426036,-0.005177514792899409,-0.029585798816568046,-0.030827067669172932,0
1403-02-22,2610,2659,2578,2578,2602,-0.010742851643690257,خساپا,2660.0,82048792.0,-0.00037593984962406017,-0.030827067669172932,-0.018796992481203006,-0.030827067669172932,-0.03420445810914681,0
1403-02-23,2618,2620,2505,2513,2553,0.5763003682490376,خساپا,2602.0,81167354.0,0.006917755572636433,-0.03727901614142967,0.006149116064565719,-0.03420445810914681,-0.036427732079905996,0
1403-02-24,2557,2557,2426,2460,2460,0.3510476408726215,خساپا,2553.0,127944130.0,0.0015667841754798276,-0.04974539757148453,0.0015667841754798276,-0.036427732079905996,0.0008130081300813008,1
1403-02-25,2450,2510,2437,2462,2462,-0.4692024635277796,خساپا,2460.0,172858615.0,0.02032520325203252,-0.00934959349593496,-0.0040650406504065045,0.0008130081300813008,-0.01380991064175467,0
1403-02-26,2461,2509,2392,2428,2439,0.5141839453252538,خساپا,2462.0,91752927.0,0.019090170593013808,-0.02843216896831844,-0.00040617384240454913,-0.01380991064175467,-0.01886018860188602,0
1403-02-29,2458,2472,2391,2393,2433,-0.21821652963958485,خساپا,2439.0,138930809.0,0.013530135301353014,-0.01968019680196802,0.007790077900779008,-0.01886018860188602,-0.014385532264693794,0
1403-02-30,2380,2429,2312,2398,2332,0.7233568548971812,خساپا,2433.0,108613810.0,-0.0016440608302507192,-0.049732840115084255,-0.02178380600082203,-0.014385532264693794,0.01972555746140652,1
1403-03-01,2311,2378,2311,2378,2373,-0.7111110602985611,خساپا,2332.0,187180354.0,0.01972555746140652,-0.009005145797598629,-0.009005145797598629,0.01972555746140652,-0.01980615254951538,0
