datetime,Open,High,Low,Close,Final,Volume
2024-04-02,2750,2899,2748,2876,2844,283735233
2024-04-03,2860,2902,2804,2864,2845,220424280
2024-04-06,2845,2864,2703,2742,2760,461881624
2024-04-07,2759,2799,2725,2763,2753,146132051
2024-04-08,2788,2830,2750,2762,2790,73728895
2024-04-09,2789,2845,2751,2792,2794,141353637
2024-04-13,2685,2750,2655,2655,2664,304109267
2024-04-14,2638,2638,2638,2638,2662,3061455
2024-04-15,2688,2688,2653,2688,2688,97918851
2024-04-16,2662,2687,2662,2662,2663,96631133
2024-04-17,2662,2689,2637,2638,2672,62473227
2024-04-20,2766,2805,2731,2805,2802,223154065
2024-04-21,2890,2890,2794,2795,2832,80104658
2024-04-22,2782,2837,2752,2779,2816,101319386
2024-04-23,2751,2850,2751,2825,2810,121839046
2024-04-24,2833,2835,2784,2830,2803,79891125
2024-04-27,2854,2900,2785,2800,2811,76206248
2024-04-28,2781,2800,2729,2731,2758,66813305
2024-04-29,2731,2895,2731,2809,2860,287873497
2024-04-30,2858,2860,2770,2785,2807,111484272
2024-05-01,2785,2847,2785,2815,2814,96439337
2024-05-05,2800,2855,2760,2760,2799,109520750
2024-05-06,2760,2805,2700,2720,2749,108664669
2024-05-07,2700,2762,2671,2691,2704,130489096
2024-05-08,2690,2733,2611,2624,2660,82048792
2024-05-11,2610,2659,2578,2578,2602,81167354
2024-05-12,2618,2620,2505,2513,2553,127944130
2024-05-13,2557,2557,2426,2460,2460,172858615
2024-05-14,2450,2510,2437,2462,2462,91752927
2024-05-15,2461,2509,2392,2428,2439,138930809
2024-05-18,2458,2472,2391,2393,2433,108613810
2024-05-19,2380,2429,2312,2398,2332,187180354
2024-05-21,2311,2378,2311,2378,2373,54074334
2024-05-25,2395,2416,2326,2326,2340,150514314
2024-05-26,2300,2344,2294,2294,2313,40966760
2024-05-27,2267,2297,2267,2270,2269,146875082
2024-05-28,2300,2314,2271,2314,2313,81907036
2024-05-29,2359,2359,2336,2359,2342,31928634
2024-06-01,2388,2388,2332,2380,2378,122815341
2024-06-02,2420,2425,2367,2425,2396,156163951
2024-06-05,2443,2443,2427,2443,2442,137043662
2024-06-08,2442,2443,2394,2394,2398,120980456
2024-06-09,2396,2445,2364,2445,2427,88927272
2024-06-10,2475,2475,2473,2475,2475,56287090
2024-06-11,2524,2524,2474,2489,2499,99871196
2024-06-12,2512,2530,2486,2497,2503,108543469
2024-06-15,2493,2494,2453,2453,2466,64627390
2024-06-16,2417,2499,2417,2421,2432,109047980
2024-06-18,2384,2432,2384,2432,2388,150731208
2024-06-19,2371,2435,2371,2435,2419,62500199
