datetime,Open,High,Low,Close,Final,Volume
2024-04-02,5310,5490,5310,5380,5340,10570997
2024-04-03,5320,5530,5310,5400,5410,6049186
2024-04-06,5270,5410,5140,5170,5220,12984126
2024-04-07,5300,5300,5100,5200,5180,3595498
2024-04-08,5230,5430,5230,5310,5370,3321377
2024-04-09,5440,5500,5260,5310,5310,3209126
2024-04-13,5290,5290,5050,5050,5050,18874048
2024-04-14,5000,5040,5000,5000,5000,8959833
2024-04-15,5050,5050,5050,5050,5050,1289315
2024-04-16,5100,5100,5000,5050,5040,15096299
2024-04-17,5090,5090,5020,5090,5090,3413002
2024-04-20,5290,5340,5260,5340,5340,4460921
2024-04-21,5580,5600,5420,5490,5540,10644267
2024-04-22,5400,5570,5270,5360,5370,8147342
2024-04-23,5430,5580,5220,5480,5420,4139692
2024-04-24,5380,5580,5380,5380,5440,3807565
2024-04-27,5360,5470,5170,5260,5260,10472712
2024-04-28,5240,5310,5120,5180,5180,2972392
2024-04-29,5140,5400,5130,5190,5240,4825797
2024-04-30,5190,5350,5130,5140,5170,3025563
2024-05-01,5320,5320,5110,5190,5160,2347771
2024-05-05,5150,5240,5090,5120,5120,2962137
2024-05-06,5110,5320,5040,5180,5160,7246586
2024-05-07,5300,5400,5190,5280,5340,12036456
2024-05-08,5360,5400,5170,5180,5230,3796717
2024-05-11,5160,5350,5140,5210,5190,2255934
2024-05-12,5370,5370,5080,5100,5160,3167379
2024-05-13,5190,5190,4970,5050,5030,5506798
2024-05-14,4980,5160,4980,5080,5050,4738997
2024-05-15,5070,5260,4960,5110,5070,3800370
2024-05-18,5000,5180,4960,4990,5010,6937929
2024-05-19,4960,4990,4760,4870,4800,15490149
2024-05-21,4890,4890,4800,4870,4880,3075856
2024-05-25,4977,4977,4783,4783,4794,6706333
2024-05-26,4700,4878,4699,4699,4702,5316809
2024-05-27,4608,4775,4608,4750,4627,4604341
2024-05-28,4719,4719,4700,4719,4719,3194954
2024-05-29,4813,4813,4810,4813,4813,4472464
2024-06-01,4908,4909,4816,4909,4870,5084258
2024-06-02,4963,4963,4781,4909,4859,3972130
2024-06-05,4950,4950,4762,4762,4783,5213242
2024-06-08,4717,4783,4688,4729,4708,6320696
2024-06-09,4728,4790,4650,4790,4746,1803181
2024-06-10,4802,4840,4800,4835,4814,5761326
2024-06-11,4774,4899,4774,4823,4828,2510591
2024-06-12,4739,4890,4732,4732,4736,3798894
2024-06-15,4811,4811,4642,4642,4649,6076285
2024-06-16,4557,4718,4557,4557,4559,5249278
2024-06-18,4540,4620,4468,4537,4505,3063696
2024-06-19,4421,4590,4421,4561,4533,1817837
