datetime,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2024-04-02,5310,5490,5310,5380,5340,10570997,56488217770,809,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-03,5320,5530,5310,5400,5410,6049186,32700753620,386,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-06,5270,5410,5140,5170,5220,12984126,67828744640,742,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-07,5300,5300,5100,5200,5180,3595498,18633719130,341,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-08,5230,5430,5230,5310,5370,3321377,17837763520,335,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-09,5440,5500,5260,5310,5310,3209126,17044804370,312,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-13,5290,5290,5050,5050,5050,18874048,95370115900,820,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-14,5000,5040,5000,5000,5000,8959833,44799415370,402,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-15,5050,5050,5050,5050,5050,1289315,6511040750,77,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-16,5100,5100,5000,5050,5040,15096299,76110223280,657,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-17,5090,5090,5020,5090,5090,3413002,17360735830,252,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-20,5290,5340,5260,5340,5340,4460921,23808347700,194,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-21,5580,5600,5420,5490,5540,10644267,58951589810,737,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-22,5400,5570,5270,5360,5370,8147342,43782592000,703,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-23,5430,5580,5220,5480,5420,4139692,22424950450,438,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-24,5380,5580,5380,5380,5440,3807565,20705496020,308,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-27,5360,5470,5170,5260,5260,10472712,55058168530,739,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-28,5240,5310,5120,5180,5180,2972392,15409008450,304,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-29,5140,5400,5130,5190,5240,4825797,25301605050,381,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-04-30,5190,5350,5130,5140,5170,3025563,15642612340,238,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-01,5320,5320,5110,5190,5160,2347771,12114875870,201,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-05,5150,5240,5090,5120,5120,2962137,15169706620,267,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-06,5110,5320,5040,5180,5160,7246586,37357865150,584,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-07,5300,5400,5190,5280,5340,12036456,64315145910,652,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-08,5360,5400,5170,5180,5230,3796717,19871602260,285,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-11,5160,5350,5140,5210,5190,2255934,11713069750,223,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-12,5370,5370,5080,5100,5160,3167379,16329306710,339,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-13,5190,5190,4970,5050,5030,5506798,27685200260,496,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-14,4980,5160,4980,5080,5050,4738997,23927469780,334,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-15,5070,5260,4960,5110,5070,3800370,19281850920,356,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-18,5000,5180,4960,4990,5010,6937929,34732390990,455,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-19,4960,4990,4760,4870,4800,15490149,74368764610,722,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
2024-05-21,4890,4890,4800,4870,4880,3075856,15016949300,233,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
