J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
1403-01-14,5310,5490,5310,5380,5340,10570997,56488217770,809,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-15,5320,5530,5310,5400,5410,6049186,32700753620,386,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-18,5270,5410,5140,5170,5220,12984126,67828744640,742,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-19,5300,5300,5100,5200,5180,3595498,18633719130,341,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-20,5230,5430,5230,5310,5370,3321377,17837763520,335,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-21,5440,5500,5260,5310,5310,3209126,17044804370,312,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-25,5290,5290,5050,5050,5050,18874048,95370115900,820,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-26,5000,5040,5000,5000,5000,8959833,44799415370,402,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-27,5050,5050,5050,5050,5050,1289315,6511040750,77,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-28,5100,5100,5000,5050,5040,15096299,76110223280,657,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-01-29,5090,5090,5020,5090,5090,3413002,17360735830,252,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-01,5290,5340,5260,5340,5340,4460921,23808347700,194,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-02,5580,5600,5420,5490,5540,10644267,58951589810,737,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-03,5400,5570,5270,5360,5370,8147342,43782592000,703,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-04,5430,5580,5220,5480,5420,4139692,22424950450,438,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-05,5380,5580,5380,5380,5440,3807565,20705496020,308,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-08,5360,5470,5170,5260,5260,10472712,55058168530,739,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-09,5240,5310,5120,5180,5180,2972392,15409008450,304,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-10,5140,5400,5130,5190,5240,4825797,25301605050,381,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-11,5190,5350,5130,5140,5170,3025563,15642612340,238,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-12,5320,5320,5110,5190,5160,2347771,12114875870,201,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-16,5150,5240,5090,5120,5120,2962137,15169706620,267,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-17,5110,5320,5040,5180,5160,7246586,37357865150,584,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-18,5300,5400,5190,5280,5340,12036456,64315145910,652,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-19,5360,5400,5170,5180,5230,3796717,19871602260,285,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-22,5160,5350,5140,5210,5190,2255934,11713069750,223,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-23,5370,5370,5080,5100,5160,3167379,16329306710,339,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-24,5190,5190,4970,5050,5030,5506798,27685200260,496,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-25,4980,5160,4980,5080,5050,4738997,23927469780,334,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-26,5070,5260,4960,5110,5070,3800370,19281850920,356,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-29,5000,5180,4960,4990,5010,6937929,34732390990,455,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-02-30,4960,4990,4760,4870,4800,15490149,74368764610,722,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-01,4890,4890,4800,4870,4880,3075856,15016949300,233,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-05,4977,4977,4783,4783,4794,6706333,32148126985,352,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-06,4700,4878,4699,4699,4702,5316809,25001997469,243,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-07,4608,4775,4608,4750,4627,4604341,21304136518,353,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-08,4719,4719,4700,4719,4719,3194954,15076477918,178,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-09,4813,4813,4810,4813,4813,4472464,21525654038,248,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-12,4908,4909,4816,4909,4870,5084258,24758655068,343,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-13,4963,4963,4781,4909,4859,3972130,19299481207,290,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-16,4950,4950,4762,4762,4783,5213242,24934292305,336,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-19,4717,4783,4688,4729,4708,6320696,29757342112,320,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-20,4728,4790,4650,4790,4746,1803181,8557272740,251,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-21,4802,4840,4800,4835,4814,5761326,27733072579,283,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-22,4774,4899,4774,4823,4828,2510591,12122274930,413,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-23,4739,4890,4732,4732,4736,3798894,17990271763,179,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-26,4811,4811,4642,4642,4649,6076285,28246817723,275,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-27,4557,4718,4557,4557,4559,5249278,23930986645,272,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-29,4540,4620,4468,4537,4505,3063696,13800589238,213,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
1403-03-30,4421,4590,4421,4561,4533,1817837,8239597190,153,خکرمان,سرمایه گذاری آرمان گستر پاریز,فرابورس
