J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
1403-01-14,533,547,519,541,534,2762278184,1475846157111,26006,ذوب,ذوب آهن اصفهان,بورس
1403-01-15,539,542,525,532,532,1622283964,863562612252,17209,ذوب,ذوب آهن اصفهان,بورس
1403-01-18,538,539,506,510,514,2846765049,1463428602185,27287,ذوب,ذوب آهن اصفهان,بورس
1403-01-19,510,528,502,516,514,1376147437,707291568163,13432,ذوب,ذوب آهن اصفهان,بورس
1403-01-20,523,527,517,520,521,822458276,428689138889,9616,ذوب,ذوب آهن اصفهان,بورس
1403-01-21,522,523,510,512,516,1148859026,592836913265,10741,ذوب,ذوب آهن اصفهان,بورس
1403-01-25,514,514,491,491,493,1081595946,533491267948,11185,ذوب,ذوب آهن اصفهان,بورس
1403-01-26,489,489,489,489,491,122486846,59896067694,1594,ذوب,ذوب آهن اصفهان,بورس
1403-01-27,495,495,492,495,495,1223191471,605398321246,8545,ذوب,ذوب آهن اصفهان,بورس
1403-01-28,491,496,491,492,491,1169717905,574578355101,10016,ذوب,ذوب آهن اصفهان,بورس
1403-01-29,495,495,488,490,493,720216270,354872389969,7456,ذوب,ذوب آهن اصفهان,بورس
1403-02-01,507,517,504,517,515,1804996146,930358021225,12450,ذوب,ذوب آهن اصفهان,بورس
1403-02-02,530,532,514,518,523,1245651734,651116349085,12579,ذوب,ذوب آهن اصفهان,بورس
1403-02-03,521,521,508,511,514,1021794639,525581930371,10324,ذوب,ذوب آهن اصفهان,بورس
1403-02-04,506,513,498,502,502,1117979749,560789053635,12155,ذوب,ذوب آهن اصفهان,بورس
1403-02-05,498,507,496,498,500,982401706,490961309384,10468,ذوب,ذوب آهن اصفهان,بورس
1403-02-08,499,511,492,493,497,747515122,371748501345,8688,ذوب,ذوب آهن اصفهان,بورس
1403-02-09,492,495,480,484,484,695000347,336269047016,8473,ذوب,ذوب آهن اصفهان,بورس
1403-02-10,489,493,481,485,486,486879684,236708273074,5777,ذوب,ذوب آهن اصفهان,بورس
1403-02-11,490,490,474,481,480,730627517,350502945041,7586,ذوب,ذوب آهن اصفهان,بورس
1403-02-12,483,494,478,488,485,523005364,253657294188,5436,ذوب,ذوب آهن اصفهان,بورس
1403-02-16,495,495,479,481,483,538448423,260106759300,5799,ذوب,ذوب آهن اصفهان,بورس
1403-02-17,480,481,472,474,475,554893196,263502066437,6769,ذوب,ذوب آهن اصفهان,بورس
1403-02-18,476,479,466,468,469,626320364,293995716295,6905,ذوب,ذوب آهن اصفهان,بورس
1403-02-19,470,470,457,460,461,648728860,298901173901,7748,ذوب,ذوب آهن اصفهان,بورس
1403-02-22,465,466,451,452,456,586866188,267881851839,6392,ذوب,ذوب آهن اصفهان,بورس
1403-02-23,456,460,440,445,447,879360333,392824992768,9651,ذوب,ذوب آهن اصفهان,بورس
1403-02-24,448,448,425,431,431,910551161,392115925855,10429,ذوب,ذوب آهن اصفهان,بورس
1403-02-25,434,448,432,437,438,590968534,258668375542,6208,ذوب,ذوب آهن اصفهان,بورس
1403-02-26,440,446,428,442,438,447242255,195915835469,5094,ذوب,ذوب آهن اصفهان,بورس
1403-02-29,445,445,430,441,436,475324816,207323172606,5475,ذوب,ذوب آهن اصفهان,بورس
1403-02-30,415,422,415,420,415,752324995,312445347057,7177,ذوب,ذوب آهن اصفهان,بورس
1403-03-01,415,423,412,418,419,507162855,212622324902,4976,ذوب,ذوب آهن اصفهان,بورس
1403-03-05,424,424,411,411,412,458183746,188951054951,4541,ذوب,ذوب آهن اصفهان,بورس
1403-03-06,404,404,404,404,404,253066864,102239013056,2394,ذوب,ذوب آهن اصفهان,بورس
1403-03-07,396,401,396,398,396,607629281,240890511702,5702,ذوب,ذوب آهن اصفهان,بورس
1403-03-08,402,403,399,403,402,241039465,97002959055,2187,ذوب,ذوب آهن اصفهان,بورس
1403-03-09,410,410,410,410,404,73321391,30061770310,710,ذوب,ذوب آهن اصفهان,بورس
1403-03-12,412,412,408,412,412,1064329695,438213379180,8133,ذوب,ذوب آهن اصفهان,بورس
1403-03-13,416,416,405,414,410,373184839,152959415666,3959,ذوب,ذوب آهن اصفهان,بورس
1403-03-16,412,414,402,403,403,977020868,393690242263,7515,ذوب,ذوب آهن اصفهان,بورس
1403-03-19,401,405,395,395,395,667868473,263919501408,5963,ذوب,ذوب آهن اصفهان,بورس
1403-03-20,391,402,388,402,399,601575935,239993633719,5200,ذوب,ذوب آهن اصفهان,بورس
1403-03-21,406,406,406,406,403,145195369,58949319814,1205,ذوب,ذوب آهن اصفهان,بورس
1403-03-22,411,411,405,411,410,663331033,271985215141,5799,ذوب,ذوب آهن اصفهان,بورس
1403-03-23,415,418,404,410,411,484147520,199131179051,4816,ذوب,ذوب آهن اصفهان,بورس
1403-03-26,410,413,403,403,403,409412666,165151708090,3480,ذوب,ذوب آهن اصفهان,بورس
1403-03-27,397,402,395,398,396,427547015,169255879067,4401,ذوب,ذوب آهن اصفهان,بورس
1403-03-29,395,402,389,394,394,325525767,128283285837,3544,ذوب,ذوب آهن اصفهان,بورس
1403-03-30,396,401,391,401,400,391260093,156456657465,3326,ذوب,ذوب آهن اصفهان,بورس
